Campaign name,Ad set name,Ad name,Status,Headline,Body,Creative,Results,Cost per result,Reach,Impressions,Frequency,CPC (cost per link click),CTR (link click-through rate),Amount spent (USD),Quality ranking,Engagement rate ranking,Conversion rate ranking
Storm Damage - Conversion 2024,Storm Damage - Conversion 2024 | adset1,AD_001 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,8,$80.20,30231,60779,2.01,$0.51,2.09%,$641.57,Average,Above average,Average
Storm Damage - Conversion 2024,Storm Damage - Conversion 2024 | adset2,AD_002 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,8,$76.07,39217,66210,1.69,$0.54,1.71%,$608.59,Average,Above average,Average
Storm Damage - Conversion 2024,Storm Damage - Conversion 2024 | adset1,AD_003 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,11,$77.76,50138,96205,1.92,$0.52,1.70%,$855.33,Average,Above average,Average
Storm Damage - Conversion 2024,Storm Damage - Conversion 2024 | adset2,AD_004 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,9,$73.07,31931,67139,2.1,$0.50,1.94%,$657.61,Average,Above average,Average
Spring Roof Inspection - Lead Gen,Spring Roof Inspection - Lead Ge | adset1,AD_005 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,6,$81.17,30930,52211,1.69,$0.39,2.39%,$487.00,Average,Average,Below average
Spring Roof Inspection - Lead Gen,Spring Roof Inspection - Lead Ge | adset2,AD_006 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,11,$74.08,35613,74639,2.1,$0.47,2.30%,$814.93,Average,Average,Below average
Spring Roof Inspection - Lead Gen,Spring Roof Inspection - Lead Ge | adset1,AD_007 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,12,$72.71,45712,80181,1.75,$0.46,2.37%,$872.48,Average,Average,Below average
Spring Roof Inspection - Lead Gen,Spring Roof Inspection - Lead Ge | adset2,AD_008 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,9,$75.75,32670,63331,1.94,$0.52,2.08%,$681.76,Average,Average,Below average
Insurance Claims - Lead Gen,Insurance Claims - Lead Gen | adset1,AD_009 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,24,$30.00,40398,75057,1.86,$0.41,2.32%,$720.00,Above average,Above average,Above average
Insurance Claims - Lead Gen,Insurance Claims - Lead Gen | adset2,AD_010 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,10,$50.03,21957,45649,2.08,$0.38,2.86%,$500.27,Above average,Above average,Above average
Insurance Claims - Lead Gen,Insurance Claims - Lead Gen | adset1,AD_011 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,15,$48.25,34755,71215,2.05,$0.47,2.17%,$723.74,Above average,Above average,Above average
Insurance Claims - Lead Gen,Insurance Claims - Lead Gen | adset2,AD_012 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,14,$51.30,42828,73064,1.71,$0.44,2.23%,$718.24,Above average,Above average,Above average
Brand Awareness - Top of Funnel,Brand Awareness - Top of Funnel | adset1,AD_013 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,0,—,27561,51696,1.88,$2.72,0.34%,$478.71,Average,Average,—
Brand Awareness - Top of Funnel,Brand Awareness - Top of Funnel | adset2,AD_014 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,0,—,26280,49788,1.89,$2.96,0.30%,$442.74,Average,Average,—
Brand Awareness - Top of Funnel,Brand Awareness - Top of Funnel | adset1,AD_015 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,0,—,24038,43747,1.82,$3.24,0.28%,$397.38,Average,Average,—
Brand Awareness - Top of Funnel,Brand Awareness - Top of Funnel | adset2,AD_016 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,0,—,24724,45341,1.83,$3.25,0.35%,$515.13,Average,Average,—
Traffic Push - Roofing Services,Traffic Push - Roofing Services | adset1,AD_017 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,129,$3.43,30428,51273,1.69,$0.73,1.18%,$442.47,Below average,Average,—
Traffic Push - Roofing Services,Traffic Push - Roofing Services | adset2,AD_018 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,123,$3.43,23915,40557,1.7,$0.99,1.05%,$422.49,Below average,Average,—
Traffic Push - Roofing Services,Traffic Push - Roofing Services | adset1,AD_019 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,125,$3.43,18459,38430,2.08,$1.15,0.97%,$428.83,Below average,Average,—
Traffic Push - Roofing Services,Traffic Push - Roofing Services | adset2,AD_020 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,124,$3.43,21793,44238,2.03,$1.01,0.95%,$425.76,Below average,Average,—
Storm Damage Retargeting,Storm Damage Retargeting | adset1,AD_021 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,8,$61.64,23519,47829,2.03,$0.70,1.48%,$493.15,Above average,Above average,Average
